asn,subnet
AS136052,103.76.120.0/24
AS136052,103.52.115.0/24
AS136052,203.145.34.0/24
AS136052,103.59.94.0/24
AS136052,103.49.239.0/24
AS136052,103.67.78.0/24
AS136052,103.217.144.0/24
AS136052,210.79.191.0/24
AS136052,103.117.56.0/24
AS136052,103.193.176.0/24
AS137987,103.119.94.0/24
AS141004,103.120.179.0/24
AS135130,103.122.249.0/24
AS136969,103.125.179.0/24
AS137535,103.127.242.0/24
AS138500,103.127.49.0/24
AS138608,103.13.207.0/24
AS138608,103.13.206.0/24
AS138608,103.134.154.0/24
AS138608,103.189.235.0/24
AS138608,103.189.234.0/24
AS137023,103.130.11.0/24
AS138350,103.130.207.0/24
AS138368,103.131.212.0/24
AS149137,103.131.85.0/24
AS138549,103.132.221.0/24
AS151214,103.133.247.0/24
AS139555,103.134.117.0/24
AS132298,103.135.253.0/24
AS135217,103.138.237.0/24
AS149723,103.138.53.0/24
AS139224,103.139.255.0/24
AS134932,103.141.116.0/24
AS150774,103.142.184.0/24
AS135951,103.142.26.0/24
AS136933,103.144.2.0/24
AS136933,103.144.28.0/24
AS136933,103.143.11.0/24
AS138152,103.143.238.0/24
AS138152,156.227.237.0/24
AS138152,103.143.231.0/24
AS138152,156.236.75.0/24
AS138152,103.146.52.0/24
AS138152,103.143.72.0/24
AS138152,156.227.233.0/24
AS138152,156.227.232.0/24
AS138152,156.232.13.0/24
AS136167,103.143.93.0/24
AS135994,103.145.63.0/24
AS142403,154.221.28.0/24
AS142403,154.209.4.0/24
AS142403,154.221.23.0/24
AS142403,103.146.159.0/24
AS142403,154.92.15.0/24
AS142403,154.221.24.0/24
AS142403,154.221.19.0/24
AS142403,154.221.27.0/24
AS131366,103.153.68.0/24
AS131366,103.176.20.0/24
AS131366,103.163.215.0/24
AS131366,103.146.23.0/24
AS4800,103.147.159.0/24
AS4800,103.168.135.0/24
AS135777,103.68.52.0/24
AS135777,103.147.248.0/24
AS139988,103.148.100.0/24
AS133658,103.148.119.0/24
AS151391,103.150.65.0/24
AS140417,103.151.140.0/24
AS138754,103.151.189.0/24
AS140917,103.153.110.0/24
AS140923,103.153.130.0/24
AS140947,103.153.182.0/24
AS140947,103.153.183.0/24
AS140995,103.154.158.0/24
AS140481,103.154.77.0/24
AS136306,103.155.57.0/24
AS140191,103.156.204.0/24
AS134886,103.156.237.0/24
AS141417,103.158.206.0/24
AS141319,103.158.40.0/24
AS135944,180.93.172.0/24
AS135944,116.118.2.0/24
AS135944,103.159.54.0/24
AS135967,103.74.123.0/24
AS135967,103.161.170.0/24
AS135967,103.161.16.0/24
AS137098,103.161.93.0/24
AS136905,103.162.3.0/24
AS141645,103.162.54.0/24
AS141745,103.163.117.0/24
AS141745,103.163.116.0/24
AS149240,103.163.167.0/24
AS141767,103.163.182.0/24
AS134032,103.163.44.0/24
AS134032,103.171.12.0/24
AS134032,103.58.65.0/24
AS134032,45.118.34.0/24
AS136106,103.164.132.0/24
AS141874,103.164.246.0/24
AS142002,165.154.205.0/24
AS142002,103.164.81.0/24
AS142002,165.154.231.0/24
AS142002,165.154.254.0/24
AS142002,165.154.229.0/24
AS142002,165.154.255.0/24
AS142002,165.154.238.0/24
AS142002,165.154.227.0/24
AS135905,103.166.182.0/24
AS135905,14.225.7.0/24
AS135905,14.225.3.0/24
AS135905,103.173.154.0/24
AS135905,103.200.22.0/24
AS135905,103.82.27.0/24
AS135905,14.225.217.0/24
AS135905,14.225.204.0/24
AS135905,14.225.205.0/24
AS135905,14.225.18.0/24
AS135905,123.31.31.0/24
AS135905,103.82.21.0/24
AS137213,103.166.58.0/24
AS142295,103.167.158.0/24
AS58504,103.167.233.0/24
AS136286,103.167.95.0/24
AS142439,103.168.241.0/24
AS140814,103.168.58.0/24
AS142430,103.168.66.0/24
AS58955,103.169.67.0/24
AS150593,103.17.12.0/24
AS142627,103.171.69.0/24
AS146988,103.172.113.0/24
AS38253,103.172.236.0/24
AS146956,103.172.28.0/24
AS137127,103.174.34.0/24
AS147124,103.175.206.0/24
AS135780,103.176.167.0/24
AS58715,182.48.80.0/24
AS58715,103.178.186.0/24
AS131471,103.178.78.0/24
AS132768,103.30.81.0/24
AS132768,103.30.80.0/24
AS132768,103.18.166.0/24
AS132768,103.25.132.0/24
AS132768,103.30.83.0/24
AS149526,103.182.132.0/24
AS149636,103.183.62.0/24
AS149792,103.186.114.0/24
AS135325,103.186.139.0/24
AS149897,103.187.165.0/24
AS149575,103.187.78.0/24
AS149111,103.189.208.0/24
AS137109,103.189.99.0/24
AS132668,103.19.231.0/24
AS150019,103.191.204.0/24
AS141153,103.192.39.0/24
AS141153,103.192.38.0/24
as134518,103.194.239.0/24
AS134326,103.194.243.0/24
AS134326,103.69.9.0/24
AS134326,43.246.139.0/24
AS63734,103.199.19.0/24
AS24186,202.141.3.0/24
AS24186,202.168.84.0/24
AS24186,103.199.203.0/24
AS24186,202.141.40.0/24
AS131423,42.96.19.0/24
AS131423,42.96.16.0/24
AS131423,42.96.20.0/24
AS131423,103.2.225.0/24
AS131423,45.119.212.0/24
AS131423,103.48.192.0/24
AS136565,103.20.122.0/24
AS38001,103.200.219.0/24
AS131386,103.200.25.0/24
AS131386,45.119.84.0/24
AS136180,103.203.57.0/24
AS134863,103.207.4.0/24
AS55803,103.208.218.0/24
AS134674,103.208.68.0/24
AS134928,103.209.179.0/24
AS135310,103.213.238.0/24
AS150303,103.215.74.0/24
AS206264,103.217.252.0/24
AS24550,103.225.246.0/24
AS55933,45.64.74.0/24
AS55933,103.229.125.0/24
AS55933,43.224.248.0/24
AS38136,103.229.54.0/24
AS133159,103.230.156.0/24
AS149553,103.230.176.0/24
AS13335,103.230.240.0/24
AS133731,103.231.14.0/24
AS133524,103.233.206.0/24
AS133232,103.235.0.0/24
AS131414,103.97.135.0/24
AS131414,103.237.144.0/24
AS63526,160.22.20.0/24
AS63526,103.239.252.0/24
AS42960,103.24.217.0/24
AS133499,103.240.165.0/24
AS135983,160.187.240.0/24
AS135983,103.241.43.0/24
AS133676,103.248.120.0/24
AS150206,103.249.19.0/24
AS55720,45.121.147.0/24
AS55720,103.249.84.0/24
AS58898,103.25.47.0/24
