ip_range,ip_count
64.23.161.0/24,2
203.6.235.0/24,3
103.4.145.0/24,2
190.99.145.0/24,1
101.96.230.0/24,2
20.83.161.0/24,1
5.195.226.0/24,3
220.81.148.0/24,1
14.37.160.0/24,2
60.244.155.0/24,4
104.23.253.0/24,2
125.91.140.0/24,2
27.112.78.0/24,5
34.175.118.0/24,2
40.117.97.0/24,2
170.64.177.0/24,12
113.164.66.0/24,1
49.232.147.0/24,1
188.166.181.0/24,3
46.236.203.0/24,2
14.103.150.0/24,2
172.174.17.0/24,2
103.176.79.0/24,8
139.59.78.0/24,2
185.153.231.0/24,2
209.38.102.0/24,4
79.168.139.0/24,2
64.181.175.0/24,1
147.50.227.0/24,2
157.10.252.0/24,1
103.172.28.0/24,2
103.250.10.0/24,7
209.38.85.0/24,8
151.47.89.0/24,1
103.181.143.0/24,12
221.139.88.0/24,2
106.75.19.0/24,3
124.155.125.0/24,2
135.125.200.0/24,2
142.93.103.0/24,3
103.154.158.0/24,2
161.35.35.0/24,4
134.199.157.0/24,6
103.43.191.0/24,2
123.157.223.0/24,2
14.63.225.0/24,2
103.172.205.0/24,5
61.245.10.0/24,1
62.3.56.0/24,2
68.183.41.0/24,2
121.125.70.0/24,2
134.209.252.0/24,2
172.174.5.0/24,2
3.134.216.0/24,2
222.114.185.0/24,2
117.173.77.0/24,2
143.110.253.0/24,4
170.64.181.0/24,1
223.233.87.0/24,2
45.78.198.0/24,15
134.209.158.0/24,3
116.71.136.0/24,2
196.0.120.0/24,5
69.6.221.0/24,2
61.245.11.0/24,5
189.206.155.0/24,2
114.217.10.0/24,3
164.90.138.0/24,3
185.239.87.0/24,2
85.225.135.0/24,3
165.154.5.0/24,8
198.211.104.0/24,1
187.210.77.0/24,2
185.227.153.0/24,3
36.69.144.0/24,2
115.68.89.0/24,2
172.71.222.0/24,1
155.4.244.0/24,6
49.173.65.0/24,3
68.183.201.0/24,2
217.154.192.0/24,3
154.209.4.0/24,5
180.76.192.0/24,1
209.38.86.0/24,4
185.196.10.0/24,12
143.198.49.0/24,1
167.172.171.0/24,2
20.40.45.0/24,2
185.196.8.0/24,6
103.109.187.0/24,2
103.23.198.0/24,5
213.154.77.0/24,2
167.71.48.0/24,4
178.62.203.0/24,1
202.4.106.0/24,2
207.154.254.0/24,3
95.231.249.0/24,2
172.174.72.0/24,2
134.199.144.0/24,4
206.189.120.0/24,4
202.165.22.0/24,3
14.116.207.0/24,2
101.36.123.0/24,6
218.60.77.0/24,2
61.72.55.0/24,2
159.65.88.0/24,1
5.161.207.0/24,1
216.108.236.0/24,2
14.103.149.0/24,3
123.58.215.0/24,3
103.24.217.0/24,2
121.229.191.0/24,2
125.142.37.0/24,2
112.78.1.0/24,2
115.241.83.0/24,2
200.108.174.0/24,2
197.199.224.0/24,2
171.231.185.0/24,2
104.248.244.0/24,2
2.57.121.0/24,18
160.191.89.0/24,3
162.19.252.0/24,1
103.61.123.0/24,3
102.88.137.0/24,5
103.86.180.0/24,4
101.126.22.0/24,3
183.81.33.0/24,2
119.12.169.0/24,1
39.109.104.0/24,3
159.198.40.0/24,1
159.203.120.0/24,2
167.71.237.0/24,7
64.226.89.0/24,3
177.94.206.0/24,2
47.85.133.0/24,1
64.227.175.0/24,10
188.166.92.0/24,1
209.38.122.0/24,1
167.71.115.0/24,2
188.166.151.0/24,1
74.87.117.0/24,2
212.16.87.0/24,2
47.180.114.0/24,2
66.154.119.0/24,3
88.147.30.0/24,2
209.38.22.0/24,5
162.243.116.0/24,2
